twoPtPassId,playId,teamId,playerId,twoPtPassPosition,twoPtPassConv,twoPtPassSack,twoPtPassComp,twoPtPassNull
11400064,11034620,3900,20040011,QB,good,0,1,0
11400065,11035949,2250,20140003,QB,failed,0,0,0
11400066,11035985,2250,20140003,QB,failed,0,0,0
11400067,11036029,2250,20140003,QB,good,0,1,0
11400068,11036073,3300,20010032,QB,failed,0,0,0
11400069,11036114,3300,20040106,QB,failed,0,0,0
11400070,11036165,3200,20140062,QB,failed,0,0,0
11400071,11036531,3300,20010032,QB,failed,0,1,0
11400072,11036712,2100,20150002,QB,good,0,1,0
11400073,11037780,3410,20130110,QB,good,0,1,0
11400074,11038488,5110,20120102,QB,good,0,1,0
11400075,11038571,3430,20050250,QB,good,0,1,0
11400076,11038652,200,20110152,QB,good,0,1,0
11400077,11039971,2100,20150002,QB,good,0,1,0
11400078,11040319,3800,20070043,QB,failed,0,0,0
11400079,11040355,2520,20130839,QB,good,0,1,0
11400080,11040719,2520,20130839,QB,failed,0,0,0
11400081,11041193,2310,20050099,P,failed,0,0,0
11400082,11041220,2310,20050001,QB,good,0,1,0
11400083,11041288,2520,20110012,QB,failed,0,1,0
11400084,11041342,2520,20130839,QB,failed,0,0,0
11400085,11041857,2520,20140036,QB,good,0,1,0
11400086,11042228,325,20140534,QB,good,0,1,1
11400087,11043766,5110,20120102,QB,good,0,1,0
11400088,11043897,3900,20130115,QB,failed,0,0,0
11400089,11044524,3900,20040011,QB,good,0,1,0
11400090,11044952,3900,20130115,QB,failed,0,0,0
11400091,11044966,3900,20130115,QB,failed,0,0,0
11400092,11045044,3900,20040011,QB,good,0,1,0
11400093,11045188,3900,20040011,QB,good,0,1,0
11400094,11045368,3900,20040011,QB,good,0,1,0
11400095,11045398,3900,20040011,QB,good,0,1,0
11400096,11045481,4500,20110036,QB,good,0,1,0
11400097,11045843,1050,20020081,QB,good,0,1,0
11400098,11046796,4400,20040004,QB,good,0,1,0
11400099,11046822,4400,20040004,QB,good,0,1,0
11400100,11047301,4600,20120075,QB,failed,0,0,0
11400101,11047308,4600,20120075,QB,failed,0,0,0
11400102,11048538,3900,20040011,QB,good,0,1,0
11400103,11048589,4600,20120075,QB,failed,0,0,0
11400104,11048594,3900,20040011,QB,failed,0,0,0
11400105,11049260,4500,20110036,QB,failed,0,0,0
11400106,11049620,1200,20151018,QB,failed,0,0,0
11400107,11050131,4500,20150937,QB,good,0,1,0
11400108,11050174,4400,20060049,QB,failed,0,0,0
11400109,11050261,4500,20150937,QB,failed,0,1,0
11400110,11050267,4400,20130221,QB,failed,1,0,0
11400111,11050546,4900,20150001,QB,failed,0,0,0
11400112,11051522,4900,20150001,QB,good,0,1,0
11400113,11051869,4900,20150001,QB,failed,0,0,0
11400114,11052666,2100,20140178,QB,failed,0,0,0
11400115,11052843,2100,20150002,QB,failed,0,0,1
11400116,11052918,2250,20140003,QB,failed,0,0,0
11400117,11053458,2100,20090256,K,good,0,1,1
11400118,11053593,2100,20150002,QB,good,0,1,0
11400119,11054245,1800,20050024,QB,good,0,1,0
11400120,11054412,5110,20100085,QB,failed,0,0,0
12400001,12001854,3800,20030001,QB,failed,0,0,0
12400002,12002016,750,20050213,QB,good,0,1,0
12400003,12002475,2250,20160201,QB,good,0,1,0
12400004,12002633,200,20080003,QB,failed,0,0,0
12400005,12002651,200,20080003,QB,failed,0,0,0
12400006,12002821,3200,20000199,QB,good,0,1,0
12400007,12002999,3300,20010032,QB,failed,0,0,0
12400008,12003627,200,20080003,QB,good,0,1,0
12400009,12004075,325,20080160,QB,good,0,1,0
12400010,12004426,325,20080018,QB,good,0,1,0
12400011,12004759,2700,20120008,QB,failed,0,1,0
12400012,12004923,325,20080018,QB,failed,0,0,0
12400013,12004966,325,20080018,QB,good,0,1,0
12400014,12005157,3700,20160002,QB,failed,0,0,0
12400015,12005291,325,20080018,QB,good,0,1,0
12400016,12005637,3800,20030001,QB,failed,0,0,0
12400017,12005919,2200,20110767,QB,failed,0,0,0
12400018,12006015,610,20160139,QB,failed,0,0,0
12400019,12006545,610,20130016,QB,good,0,1,0
12400020,12006633,610,20130016,QB,good,0,1,0
12400021,12007359,3800,20030001,QB,failed,0,0,0
12400022,12007677,2310,20050001,QB,good,0,1,0
12400023,12007923,3200,20000199,QB,failed,0,0,0
12400024,12008048,750,20100199,QB,good,0,1,0
12400025,12008337,3900,20140534,QB,failed,1,0,0
12400026,12008496,4400,20040004,QB,failed,0,0,0
12400027,12008833,4900,20150001,QB,good,0,1,0
12400028,12009192,1540,20090001,QB,good,0,1,0
12400029,12011567,920,20160931,QB,failed,0,0,0
12400030,12011896,3900,20040011,QB,failed,0,0,0
12400031,12013043,1050,20060081,QB,failed,0,0,0
12400032,12013426,1050,20020081,QB,good,0,1,0
12400033,12013501,3900,20040011,QB,good,0,1,0
12400034,12015507,5110,20120102,QB,failed,0,0,0
12400035,12016213,1400,20150250,QB,good,0,1,0
12400036,12016393,2310,20050001,QB,good,0,1,0
12400037,12016883,2520,20160100,QB,failed,0,0,0
12400038,12017078,4400,20040004,QB,good,0,1,1
12400039,12017079,4400,20040004,QB,failed,0,0,0
12400040,12017931,1800,20050024,QB,good,0,1,0
12400041,12018714,2100,20150002,QB,failed,1,0,0
12400042,12019156,1050,20160093,QB,failed,0,0,0
12400043,12019806,1800,20050024,QB,failed,0,0,0
12400044,12022581,2200,20110767,QB,failed,1,0,0
12400045,12022639,2200,20140596,QB,failed,0,0,1
