twoPtRecId,playId,teamId,playerId,twoPointRecPosition,twoPtRecResult,twoPtRecComp,twoPtRecNull
3410038,3043752,325,20040082,WR,failed,0.0,0
3410039,3045228,4600,19940445,TE,good,1.0,0
3410040,3046365,4500,20060695,WR,failed,0.0,0
3410041,3046883,4900,20040015,WR,failed,0.0,0
3410042,3047073,2510,19990006,WR,good,1.0,0
3410043,3047212,200,20050027,WR,failed,0.0,0
3410044,3051978,3800,20040003,WR,failed,0.0,0
3410045,3052695,5110,20040081,TE,good,1.0,0
3410046,3053114,5110,20020062,WR,failed,0.0,0
3410047,3053159,3700,20060544,WR,failed,0.0,0
3410048,3053205,3700,20020067,TE,failed,0.0,0
4410001,4001167,3800,20080050,DE,failed,0.0,0
4410002,4001417,3700,20020091,RB,failed,0.0,0
4410003,4001433,3800,20070215,TE,good,1.0,0
4410004,4001926,3800,20040003,WR,failed,0.0,0
4410005,4007148,750,20060027,RB,failed,0.0,0
4410006,4010066,810,20030124,WR,good,1.0,0
4410007,4010970,2250,20000047,WR,failed,0.0,0
4410008,4011121,2310,19970013,TE,failed,0.0,0
4410009,4013168,1050,20050003,WR,good,1.0,0
4410010,4013805,920,20040687,TE,failed,0.0,0
4410011,4013982,2120,20070073,WR,failed,0.0,0
4410012,4014300,1200,20040007,WR,failed,0.0,0
4410013,4014795,4500,19940033,WR,failed,0.0,0
4410014,4016226,3300,20060002,RB,failed,0.0,0
4410015,4016559,4400,20070172,WR,good,1.0,0
4410016,4016573,1400,20080042,WR,good,1.0,0
4410017,4018265,5110,20020051,RB,failed,0.0,0
4410018,4018566,1800,20060052,WR,good,1.0,0
4410019,4019410,2120,20030003,WR,good,1.0,0
4410020,4019732,3000,20070044,WR,failed,0.0,0
4410021,4019949,1800,20070432,WR,failed,0.0,0
4410022,4020073,325,19970098,WR,good,1.0,0
4410023,4020696,1540,20070002,WR,good,1.0,0
4410024,4022388,1540,20030549,TE,good,1.0,0
4410025,4022828,2200,20010030,WR,good,1.0,0
4410026,4024394,3900,20050030,TE,failed,0.0,0
4410027,4025537,2310,20080570,FB,good,1.0,0
4410028,4025712,4400,20010052,WR,failed,0.0,0
4410029,4025718,4400,20030566,TE,failed,0.0,0
4410030,4025995,4900,19970007,WR,failed,0.0,0
4410031,4026031,4900,20050071,TE,good,1.0,0
4410032,4027044,3430,20060117,RB,failed,0.0,0
4410033,4027578,4600,20080038,TE,failed,0.0,0
4410034,4029983,3200,20050690,S,failed,0.0,0
4410035,4030732,3200,20020033,WR,good,1.0,0
4410036,4031426,200,20040029,WR,good,1.0,0
4410037,4031749,1800,20040569,WR,good,1.0,0
4410038,4032747,4500,20050065,RB,good,1.0,0
4410039,4033212,3410,20060130,WR,good,1.0,0
4410040,4034802,3800,20030054,WR,failed,0.0,0
4410041,4035163,3430,20040108,WR,failed,0.0,0
4410042,4035604,3430,20040108,WR,good,1.0,0
4410043,4037338,2520,20080226,WR,failed,0.0,0
4410044,4037656,4400,20050130,RB/KR,good,1.0,0
4410045,4037795,2520,20080226,WR,good,1.0,0
4410046,4037971,3800,20040003,WR,failed,0.0,0
4410047,4038827,3410,20000008,WR,failed,0.0,0
4410048,4041491,4400,20040564,WR,failed,0.0,0
4410049,4042421,2310,20080076,TE,failed,0.0,0
4410050,4042514,2310,19970013,TE,failed,0.0,0
4410051,4042819,3430,20070235,WR,failed,0.0,0
4410052,4043135,4400,20040564,WR,good,1.0,0
4410053,4043261,4600,19960052,WR,failed,0.0,0
4410054,4043785,3200,20040574,WR,good,1.0,0
4410055,4046507,2510,20070249,WR,failed,0.0,0
4410056,4046829,610,20040013,WR,good,1.0,0
4410057,4050286,2100,20060774,FB,good,1.0,0
4410058,4051563,610,20040461,WR,good,1.0,0
4410059,4051782,1050,20050003,WR,good,1.0,0
4410060,4052349,5110,20020056,RB,failed,0.0,0
5410001,5000334,3800,20080081,WR,failed,0.0,0
5410002,5004668,3430,20080171,WR,failed,0.0,0
5410003,5005619,2120,20030003,WR,good,1.0,0
5410004,5006593,4900,20060090,WR,failed,0.0,0
5410005,5006737,200,20070244,RB,failed,1.0,0
5410006,5007370,750,20080136,WR,failed,0.0,0
5410007,5008161,750,20010074,WR,good,1.0,0
5410008,5008944,1800,20060052,WR,good,1.0,0
5410009,5009443,810,20080044,RB,good,1.0,0
5410010,5010410,1400,20060119,WR,failed,0.0,0
5410011,5010572,1540,20070002,WR,failed,0.0,0
5410012,5011331,920,20080097,WR,failed,0.0,0
5410013,5011356,920,20070052,RB,good,1.0,0
5410014,5017527,1540,20040444,WR,good,1.0,0
5410015,5017978,1540,20020054,RB,good,1.0,0
